Test 2013-5-14
51*101 Surface data points
Write Surface data .DAT file.
   51  51
   500.000   200.000   420.000
   500.474   212.936   420.000
   501.869   225.344   420.000
   504.147   237.224   420.000
   507.270   248.576   420.000
   511.200   259.400   420.000
   515.898   269.696   420.000
   521.325   279.464   420.000
   527.443   288.704   420.000
   534.214   297.416   420.000
   541.600   305.600   420.000
   549.562   313.256   420.000
   558.061   320.384   420.000
   567.059   326.984   420.000
   576.518   333.056   420.000
   586.400   338.600   420.000
   596.666   343.616   420.000
   607.277   348.104   420.000
   618.195   352.064   420.000
   629.382   355.496   420.000
   640.800   358.400   420.000
   652.410   360.776   420.000
   664.173   362.624   420.000
   676.051   363.944   420.000
   688.006   364.736   420.000
   700.000   365.000   420.000
   711.994   364.736   420.000
   723.949   363.944   420.000
   735.827   362.624   420.000
   747.590   360.776   420.000
   759.200   358.400   420.000
   770.618   355.496   420.000
   781.805   352.064   420.000
   792.723   348.104   420.000
   803.334   343.616   420.000
   813.600   338.600   420.000
   823.482   333.056   420.000
   832.941   326.984   420.000
   841.939   320.384   420.000
   850.438   313.256   420.000
   858.400   305.600   420.000
   865.786   297.416   420.000
   872.557   288.704   420.000
   878.675   279.464   420.000
   884.102   269.696   420.000
   888.800   259.400   420.000
   892.730   248.576   420.000
   895.853   237.224   420.000
   898.131   225.344   420.000
   899.526   212.936   420.000
   900.000   200.000   420.000
   500.059   200.000   412.883
   500.533   212.690   412.883
   501.927   224.863   412.883
   504.205   236.518   412.883
   507.327   247.654   412.883
   511.256   258.273   412.883
   515.952   268.373   412.883
   521.378   277.956   412.883
   527.494   287.020   412.883
   534.263   295.567   412.883
   541.647   303.596   412.883
   549.606   311.107   412.883
   558.103   318.099   412.883
   567.099   324.574   412.883
   576.555   330.531   412.883
   586.434   335.970   412.883
   596.696   340.890   412.883
   607.304   345.293   412.883
   618.219   349.178   412.883
   629.403   352.545   412.883
   640.818   355.394   412.883
   652.424   357.725   412.883
   664.183   359.538   412.883
   676.058   360.833   412.883
   688.010   361.609   412.883
   700.000   361.868   412.883
   711.990   361.609   412.883
   723.942   360.833   412.883
   735.817   359.538   412.883
   747.576   357.725   412.883
   759.182   355.394   412.883
   770.597   352.545   412.883
   781.781   349.178   412.883
   792.696   345.293   412.883
   803.304   340.890   412.883
   813.566   335.970   412.883
   823.445   330.531   412.883
   832.901   324.574   412.883
   841.897   318.099   412.883
   850.394   311.107   412.883
   858.353   303.596   412.883
   865.737   295.567   412.883
   872.506   287.020   412.883
   878.622   277.956   412.883
   884.048   268.373   412.883
   888.744   258.273   412.883
   892.673   247.654   412.883
   895.795   236.518   412.883
   898.073   224.863   412.883
   899.467   212.690   412.883
   899.941   200.000   412.883
   500.234   200.000   405.932
   500.707   212.448   405.932
   502.100   224.388   405.932
   504.376   235.820   405.932
   507.496   246.744   405.932
   511.421   257.159   405.932
   516.113   267.067   405.932
   521.533   276.466   405.932
   527.645   285.358   405.932
   534.408   293.741   405.932
   541.785   301.617   405.932
   549.737   308.984   405.932
   558.227   315.843   405.932
   567.214   322.194   405.932
   576.663   328.037   405.932
   586.533   333.372   405.932
   596.786   338.198   405.932
   607.385   342.517   405.932
   618.291   346.328   405.932
   629.465   349.630   405.932
   640.869   352.425   405.932
   652.465   354.711   405.932
   664.215   356.489   405.932
   676.079   357.760   405.932
   688.020   358.522   405.932
   700.000   358.776   405.932
   711.980   358.522   405.932
   723.921   357.760   405.932
   735.785   356.489   405.932
   747.535   354.711   405.932
   759.131   352.425   405.932
   770.535   349.630   405.932
   781.709   346.328   405.932
   792.615   342.517   405.932
   803.214   338.198   405.932
   813.467   333.372   405.932
   823.337   328.037   405.932
   832.786   322.194   405.932
   841.773   315.843   405.932
   850.263   308.984   405.932
   858.215   301.617   405.932
